ACTS,"BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE",,,60,,7,,2,0,0,18,24,1,0,0,0,0,0,2,2,0,0,0,0,5,2,0,0,123
BBIT,"BACHELOR OF BUSINESS INFORMATION TECHNOLOGY",,,180,,5,,12,0,0,57,47,8,8,0,0,42,14,3,2,0,0,5,0,2,1,0,0,386
BEF,"BACHELOR OF SCIENCE IN ECONOMICS AND FINANCE",,,100,,6,,3,0,0,46,48,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,208
BHT,"BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM",,,50,,1,,2,0,0,3,5,0,3,0,0,2,1,0,3,0,0,0,0,0,1,0,0,71
BMC,"BACHELOR OF MASS COMMUNICATION",,,120,,2,,4,0,0,12,6,2,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,152
BMIS,"BACHELOR OF MANAGEMENT INFORMATION SYSTEM",,,10,,0,,0,0,0,3,6,5,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,32
BMIT,"BACHELOR OF BUSINESS MANAGEMENT & INFORMATION TECHNOLOGY",,,35,,3,,1,0,0,17,10,9,1,0,0,20,13,21,24,0,0,5,3,10,4,0,0,
BMPT,"BACHELOR OF MUSIC PRODUCTION TECHNOLOGY ",,,5,,1,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
BMTC,"BACHELOR OF MUSIC THEORY AND COMPOSITION",,,10,,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,
BPL,"BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT",,,120,,6,,5,0,0,31,28,1,0,0,0,1,4,3,0,0,0,0,1,1,1,0,0,
BSCSF,"BACHELOR OF SCIENCE IN COMPUTER SECURITY AND FORENSICS",,,55,,7,,0,0,0,38,17,3,0,0,0,1,1,2,0,0,0,1,0,6,1,0,0,
CECD,"CERTIFICATE IN EARLY CHILDHOOD EDUCATION",,,2,,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIT,"CERTIFICATE IN INFORMATION TECHNOLOGY",,,10,,3,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLM,"BACHELOR OF SCIENCE IN CLINICAL MEDICINE",,,100,,10,,13,0,0,51,36,25,36,0,0,9,10,24,16,1,0,15,11,14,15,0,0,
CM,"BACHELOR OF COMMERCE",,,250,,24,,10,0,0,111,108,20,19,0,0,92,49,45,23,0,0,1,5,13,12,0,0,
CMU,"CERTIFICATE IN MUSIC",,,10,,1,,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CS,"BACHELOR OF SCIENCE IN COMPUTER SCIENCE",,,100,,19,,5,0,0,79,35,43,9,0,0,80,20,24,8,0,0,9,3,17,7,0,0,
DBA,"DIPLOMA IN BUSINESS ADMINSTRATION ",,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DBIT,"DIPLOMA IN BUSINESS INFORMATION TECHNOLOGY ",,,,,5,,1,0,0,8,5,6,1,0,0,9,1,3,0,0,0,0,0,0,0,0,0,
DBM,"DIPLOMA IN BUSINESS MANAGEMENT",,,,,3,,1,0,0,3,5,2,6,0,0,2,9,0,0,0,0,0,0,0,0,0,0,
DCLM,"DIPLOMA IN CLINICAL MEDICINE & SURGERY",,,20,,0,,1,0,0,10,1,11,11,0,0,30,18,15,14,1,5,11,6,0,0,0,0,
DCS,"DIPLOMA IN COMPUTER SCIENCE",,,20,,0,,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
DEH,"DIPLOMA IN ENVIRONMENTAL HEALTH",,,5,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,
DHM,"DIPLOMA IN  HOSPITALITY MANAGEMENT",,,10,,0,,2,0,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,
DHND,"DIPLOMA IN HUMAN NUTRITION AND DIETETICS",,,10,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,
DHR,"DIPLOMA IN HUMAN RESOURCE MANAGEMENT ",,,,,0,,5,0,0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
DIM,"DIPLOMA IN MUSIC",,,5,,2,,2,0,0,4,1,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,
DIPE,"DIPLOMA IN EDUCATION (ARTS)",,,10,,0,,2,0,0,1,1,3,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,
DIT,"DIPLOMA IN INFORMATION TECHNOLOGY",,,20,,4,,3,0,0,11,12,3,4,0,0,4,2,3,1,0,0,0,0,0,0,0,0,
DPLM,"DIPLOMA IN PROCUREMENT AND LOGISTICS MANAGEMENT",,,,,1,,4,0,0,3,20,5,7,0,0,11,18,1,4,0,0,0,1,0,1,0,0,
ECONM,"BACHELOR OF SCIENCE IN ECONOMICS & MATHEMATICS",,,120,,8,,6,0,0,93,72,12,10,0,0,27,14,4,12,0,0,1,1,2,5,0,0,
EDA,"BACHELOR OF EDUCATION (ARTS)",,,250,,21,,19,0,0,102,158,35,49,0,0,64,81,66,33,0,0,12,16,24,54,0,0,
EDS,"BACHELOR OF EDUCATION(SCIENCE)",,,100,,21,,10,0,0,61,59,13,5,0,0,66,43,75,18,0,0,3,4,13,11,0,0,
EH,"BACHELOR OF SCIENCE IN ENVIRONMENTAL HEALTH",,,35,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENVS,"BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE",,,10,,0,,1,0,0,1,0,4,6,0,0,16,10,15,16,0,0,1,0,3,3,0,0,
ES,"BACHELOR OF SCIENCE IN ECONOMICS AND STATISTICS",,,55,,6,,4,0,0,31,22,2,2,0,0,3,1,2,2,0,0,1,2,1,4,0,0,
GDM,"DOCTOR OF PHILOSOPHY IN MUSIC (MUSIC EDUCATION)",,,5,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GDS,"DOCTOR OF PHILOSOPHY IN IT SECURITY AND AUDIT",,,5,,0,,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GME,"MASTER OF EDUCATION",,,15,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GMHN,"MASTER OF SCIENCE IN HUMAN NUTRITION AND DIETETICS",,,15,,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GMMF,"MASTER OF MEDICINE IN FAMILY MEDICINE",,,15,,6,,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,
GMS,"MASTER OF SCIENCE IN PHYSICS",,,15,,0,,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HND,"BACHELOR OF SCIENCE IN HUMAN NUTRITION DIETETICS",,,20,,2,,6,0,0,3,5,4,10,0,0,2,1,0,0,0,0,0,0,2,24,0,0,
IT,"BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY",,,220,,17,,4,0,0,116,31,7,2,0,0,44,6,13,4,0,0,3,0,7,4,0,0,
LAW,"BACHELOR OF LAWS",,,120,,9,,21,0,0,50,74,13,24,0,0,23,30,46,61,0,0,50,70,41,85,0,0,
MED,"MASTER OF EDUCATION",,,15,,3,,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MIT,"MASTER OF SCIENCE IN INFORMATION TECHNOLOGY",,,15,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NUR,"BACHELOR OF SCIENCE IN NURSING",,,80,,5,,8,1,1,29,70,24,31,1,1,5,6,7,21,1,0,9,16,8,21,0,0,
PHAM,"BACHELOR OF PHARMACY",,,100,,9,,9,1,0,50,37,34,23,1,0,10,11,9,17,0,0,0,0,0,0,0,0,
PHDB,"DOCTOR OF PHILOSOPHY IN BUSINESS ADMINISTRATION",,,5,,2,,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
PHDE,"DOCTOR OF PHILOSOPHY IN EDUCATION",,,5,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PHDF,"DOCTOR OF PHILOSOPHY IN FINANCE",,,5,,1,,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCI,"BACHELOR OF SCIENCE",,,60,,1,,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
THEO,"BACHELOR OF THEOLOGY",,,15,,0,,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,3,1,4,1,0,0,
TLCM,"BACHELOR OF SCIENCE IN TELECOMMUNICATIONS",,,100,,6,,1,0,0,71,23,9,3,0,0,23,4,7,1,0,0,1,0,5,2,0,0,
